iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
90146	0.754801	0.0983332	0.0497827	0.0284456	1.36643	8.228209e+00	-1.724639e+02	-1.642357e+02
90147	0.754801	0.105355	0.0497827	0.0064834	0.810811	6.881459e+00	-1.713126e+02	-1.644312e+02
90148	0.754801	0.0997115	0.0497827	0.0064834	2.67616	8.067261e+00	-1.721336e+02	-1.640664e+02
90149	0.754801	0.0997115	0.0497827	0.0064834	2.67616	8.067261e+00	-1.721336e+02	-1.640664e+02
90150	0.754801	0.0997115	0.0497827	0.0830617	2.67616	7.770848e+00	-1.734696e+02	-1.656987e+02
90151	0.754801	0.0962131	0.0497827	0.112425	2.67616	7.692715e+00	-1.743794e+02	-1.666867e+02
90152	0.711924	0.0962131	0.0497827	0.112425	1.88821	8.486879e+00	-1.750723e+02	-1.665854e+02
90153	0.711924	0.0962131	0.0497827	0.112425	0.686751	7.630817e+00	-1.742572e+02	-1.666264e+02
90154	0.711924	0.0962131	0.0497827	0.112425	0.533018	7.417109e+00	-1.741137e+02	-1.666966e+02
90155	0.711924	0.0962131	0.0449198	0.112425	1.44936	8.212718e+00	-1.748365e+02	-1.666238e+02
90156	0.711924	0.0962131	0.034689	0.112425	1.44936	7.169631e+00	-1.748476e+02	-1.676780e+02
90157	0.711924	0.0973984	0.034689	0.115917	1.44936	7.037583e+00	-1.751578e+02	-1.681202e+02
90158	0.711924	0.0939526	0.034689	0.0231653	1.44936	7.951117e+00	-1.721439e+02	-1.641928e+02
90159	0.744849	0.0939526	0.034689	0.0143886	1.44936	7.526731e+00	-1.726293e+02	-1.651025e+02
90160	0.744849	0.0972235	0.034689	0.0143886	0.959143	6.953867e+00	-1.720242e+02	-1.650704e+02
90161	0.744849	0.0986874	0.034689	0.0143886	0.936685	6.813778e+00	-1.718291e+02	-1.650154e+02
90162	0.71212	0.0986874	0.0372455	0.0143886	0.936685	7.593036e+00	-1.720660e+02	-1.644729e+02
90163	0.71212	0.0986874	0.0372455	0.0143886	0.936685	7.593036e+00	-1.720660e+02	-1.644729e+02
90164	0.71212	0.0986874	0.0486689	0.034401	1.15836	8.594957e+00	-1.726052e+02	-1.640103e+02
90165	0.71212	0.0986874	0.0486689	0.00969941	2.65281	8.743970e+00	-1.720468e+02	-1.633029e+02
90166	0.71212	0.0986874	0.0486689	0.00969941	0.190274	7.319499e+00	-1.718865e+02	-1.645670e+02
90167	0.71212	0.0986874	0.0486689	0.00969941	1.28627	8.702345e+00	-1.719810e+02	-1.632787e+02
90168	0.71212	0.0986874	0.0486689	0.00969941	0.77396	8.205466e+00	-1.719433e+02	-1.637378e+02
90169	0.701674	0.0939006	0.0486689	0.00810112	1.6056	9.289444e+00	-1.721380e+02	-1.628486e+02
90170	0.701674	0.0821876	0.0584845	0.00810112	1.24265	8.500262e+00	-1.724578e+02	-1.639575e+02
90171	0.701674	0.0821876	0.0528346	0.0217746	2.02816	9.117227e+00	-1.726875e+02	-1.635702e+02
90172	0.660083	0.0821876	0.0489261	0.0217746	2.02816	9.488020e+00	-1.740356e+02	-1.645475e+02
90173	0.660083	0.0821876	0.0489261	0.0217746	0.228027	7.918473e+00	-1.737831e+02	-1.658646e+02
90174	0.660083	0.0666604	0.0489261	0.0778139	0.228027	5.239084e+00	-1.734413e+02	-1.682022e+02
90175	0.660083	0.0666604	0.0489261	0.0197627	0.544088	6.010313e+00	-1.731957e+02	-1.671854e+02
90176	0.660083	0.0725506	0.0489261	0.0197627	0.661102	7.375103e+00	-1.729410e+02	-1.655659e+02
90177	0.660083	0.0847685	0.0489261	0.0197627	1.32132	9.426684e+00	-1.743712e+02	-1.649445e+02
90178	0.660083	0.0824795	0.0489261	0.0197627	1.38546	9.322212e+00	-1.739558e+02	-1.646336e+02
90179	0.658067	0.0824795	0.0489261	0.0197627	1.38546	9.334117e+00	-1.741464e+02	-1.648123e+02
90180	0.658067	0.0824795	0.0489261	0.0450581	1.38546	9.285066e+00	-1.750003e+02	-1.657153e+02
90181	0.721107	0.0824795	0.0402851	0.0450581	1.38546	8.254178e+00	-1.735745e+02	-1.653203e+02
90182	0.721107	0.0824795	0.0402851	0.0450581	1.38546	8.254178e+00	-1.735745e+02	-1.653203e+02
90183	0.721107	0.0981352	0.0435259	0.0450581	1.38546	8.468384e+00	-1.724894e+02	-1.640210e+02
90184	0.721107	0.0981352	0.0473305	0.0658742	1.38546	8.526971e+00	-1.730265e+02	-1.644996e+02
90185	0.758354	0.0981352	0.0600088	0.0116247	0.171036	6.216469e+00	-1.724894e+02	-1.662729e+02
90186	0.69218	0.0887618	0.0600088	0.0116247	0.745223	8.253980e+00	-1.722792e+02	-1.640252e+02
90187	0.69218	0.0887618	0.0473041	0.0116247	0.892376	8.892333e+00	-1.722942e+02	-1.634018e+02
90188	0.69218	0.0887618	0.0473041	0.0720482	0.892376	8.686172e+00	-1.737097e+02	-1.650235e+02
90189	0.69218	0.0887618	0.0435628	0.0720482	2.97732	8.651158e+00	-1.744016e+02	-1.657504e+02
90190	0.69218	0.0887618	0.0501623	0.0613353	2.33334	9.358394e+00	-1.738932e+02	-1.645348e+02
90191	0.69218	0.0887618	0.0501623	0.0528912	1.86116	9.453281e+00	-1.735172e+02	-1.640640e+02
90192	0.69218	0.0872664	0.0308622	0.0528912	1.86116	7.592431e+00	-1.734010e+02	-1.658086e+02
90193	0.69218	0.0861769	0.0515142	0.0528912	2.15885	9.373556e+00	-1.733831e+02	-1.640095e+02
90194	0.694798	0.0861769	0.0515142	0.0528912	2.15885	9.349087e+00	-1.732827e+02	-1.639337e+02
90195	0.694798	0.0861769	0.0515142	0.0528912	2.15885	9.349087e+00	-1.732827e+02	-1.639337e+02
90196	0.694798	0.0861769	0.0515142	0.0633184	3.00268	8.796933e+00	-1.737517e+02	-1.649547e+02
90197	0.690176	0.0796496	0.0515142	0.0633184	3.00268	8.377102e+00	-1.737331e+02	-1.653560e+02
90198	0.690176	0.0921931	0.0515142	0.0633184	1.27363	9.127594e+00	-1.742653e+02	-1.651377e+02
90199	0.690176	0.0892174	0.0515142	0.0436237	0.626636	8.572320e+00	-1.730599e+02	-1.644876e+02
90200	0.690176	0.0892174	0.0515142	0.0407407	0.626636	8.582313e+00	-1.729939e+02	-1.644116e+02
90201	0.690176	0.0879373	0.0411072	0.0665822	1.66619	8.931588e+00	-1.739171e+02	-1.649855e+02
90202	0.690176	0.0879373	0.0365357	0.0715057	1.74289	8.405492e+00	-1.740989e+02	-1.656934e+02
90203	0.690176	0.0860664	0.0365357	0.0715057	1.74289	8.349400e+00	-1.738968e+02	-1.655474e+02
90204	0.721159	0.0863254	0.0395505	0.00591859	1.53082	8.507085e+00	-1.726579e+02	-1.641508e+02
90205	0.721159	0.0863254	0.0395505	0.00591859	2.44116	8.519839e+00	-1.726867e+02	-1.641669e+02
90206	0.721159	0.0863254	0.0395505	0.00591859	2.44116	8.519839e+00	-1.726867e+02	-1.641669e+02
90207	0.650728	0.0862337	0.0395505	0.0388032	1.15344	8.848597e+00	-1.766184e+02	-1.677698e+02
90208	0.650728	0.0862337	0.0395505	0.0388032	1.15344	8.848597e+00	-1.766184e+02	-1.677698e+02
90209	0.656698	0.0685723	0.0395505	0.0388032	2.08699	6.946267e+00	-1.735731e+02	-1.666268e+02
