iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
90143	0.363758	0.814048	8.63848	2.72158	0.993824	0.00196179	-1.921421e+02	-1.070417e+03	-1.262559e+03
90144	0.363758	0.812476	8.59739	2.72158	0.993824	0.00484705	-1.888727e+02	-1.076286e+03	-1.265159e+03
90145	0.355443	0.812476	8.92501	2.72158	0.976203	0.00798249	-1.859493e+02	-1.082363e+03	-1.268312e+03
90146	0.355979	0.80504	8.96673	2.78807	0.976203	0.00352729	-1.878481e+02	-1.079396e+03	-1.267244e+03
90147	0.352004	0.80504	8.9152	2.78807	0.982881	0.00429432	-1.871151e+02	-1.080464e+03	-1.267579e+03
90148	0.344628	0.80504	8.7629	2.6707	0.97403	0.00429432	-1.871756e+02	-1.079615e+03	-1.266790e+03
90149	0.358303	0.80504	8.7629	2.6707	0.97403	0.0010805	-1.902805e+02	-1.072532e+03	-1.262813e+03
90150	0.368996	0.804761	8.65519	2.72223	0.972875	0.0010805	-1.901692e+02	-1.071693e+03	-1.261862e+03
90151	0.368996	0.804761	8.65519	2.81173	0.972875	0.00146379	-1.897649e+02	-1.071985e+03	-1.261750e+03
90152	0.368996	0.804761	8.41783	2.81173	1.01157	0.00153599	-1.896760e+02	-1.072644e+03	-1.262320e+03
90153	0.376605	0.805703	8.41783	2.81173	1.00529	0.00153599	-1.899556e+02	-1.072786e+03	-1.262742e+03
90154	0.352312	0.805703	8.41783	2.81173	0.98259	0.00153599	-1.900126e+02	-1.072064e+03	-1.262077e+03
90155	0.352312	0.805703	8.50641	2.81173	0.98259	0.00153599	-1.900083e+02	-1.071999e+03	-1.262007e+03
90156	0.352312	0.805703	8.50641	2.7947	0.995458	0.00153599	-1.900034e+02	-1.072202e+03	-1.262206e+03
90157	0.352312	0.802179	8.53051	2.7947	0.965675	0.00153599	-1.889521e+02	-1.073259e+03	-1.262211e+03
90158	0.356583	0.802179	8.45871	2.7947	0.965675	0.00153599	-1.889486e+02	-1.072877e+03	-1.261825e+03
90159	0.356583	0.802179	8.45871	2.7947	0.956938	0.00153599	-1.889552e+02	-1.073279e+03	-1.262234e+03
