iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
90190	0.42766	8.53099	0.0651574	1.43031	0.468189	5.82859	15.4562	-8.388320e+01	-3.648128e+02	-4.486960e+02
90191	0.42766	8.53099	0.0651574	1.47203	0.456711	5.93346	15.4562	-8.189702e+01	-3.680503e+02	-4.499473e+02
90192	0.42766	8.53099	0.0705613	1.47203	0.456711	5.93346	15.4562	-8.158029e+01	-3.686210e+02	-4.502013e+02
90193	0.42766	8.53099	0.0705613	1.47203	0.4698	5.93346	15.4562	-8.378065e+01	-3.663008e+02	-4.500814e+02
90194	0.42766	8.53099	0.0705613	1.47203	0.456652	5.93346	15.4562	-8.157055e+01	-3.686363e+02	-4.502068e+02
90195	0.4438	8.53099	0.0642235	1.47203	0.456652	6.04172	15.4562	-8.190721e+01	-3.701036e+02	-4.520108e+02
90196	0.4438	8.42848	0.0642235	1.47203	0.461651	5.61587	15.4562	-8.230578e+01	-3.697534e+02	-4.520591e+02
90197	0.4438	8.42848	0.0522275	1.47203	0.481591	6.0477	15.4562	-8.729313e+01	-3.631558e+02	-4.504489e+02
90198	0.4438	8.42848	0.0522275	1.47203	0.485169	6.0477	15.4562	-8.792342e+01	-3.627110e+02	-4.506344e+02
90199	0.443618	8.5201	0.0522275	1.49614	0.474483	6.0228	15.4562	-8.666065e+01	-3.640273e+02	-4.506879e+02
90200	0.441557	8.5201	0.0522275	1.49614	0.460367	5.34404	15.4562	-8.463292e+01	-3.697287e+02	-4.543616e+02
90201	0.441557	8.54654	0.0522275	1.49614	0.460367	5.37619	15.4562	-8.478808e+01	-3.685022e+02	-4.532903e+02
90202	0.441557	9.08105	0.0522275	1.49614	0.44135	5.37619	10.7349	-8.379874e+01	-3.679213e+02	-4.517201e+02
90203	0.441557	9.08105	0.0493073	1.49614	0.454408	5.37619	11.6203	-8.686263e+01	-3.640411e+02	-4.509037e+02
90204	0.429254	8.93751	0.0493073	1.47092	0.454408	5.37619	11.8522	-8.592077e+01	-3.636885e+02	-4.496093e+02
90205	0.429254	8.93751	0.0510865	1.51503	0.446168	5.43358	11.8522	-8.408138e+01	-3.653866e+02	-4.494680e+02
